,Team,P,W,D,L,GF,GA,GD,Pts,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg
0,Bayern Munich,34,21,8,5,92,38,54,71,92,18.5,45,3,64.3,87.1,13.9,6.94,9.2,18.3,8.4,9.0,2.5,18.5,7.6,13.7,9.9
1,Borussia Dortmund,34,22,5,7,83,44,39,71,83,16.6,66,0,58.3,84.4,12.6,6.88,12.1,17.1,8.8,9.5,1.2,16.6,6.6,12.2,12.0
2,RB Leipzig,34,20,6,8,64,41,23,66,64,14.8,67,2,58.4,83.6,13.0,6.72,9.2,15.7,9.1,11.6,2.4,14.8,5.7,10.1,11.8
3,Union Berlin,34,18,8,8,51,38,13,62,51,11.2,63,2,42.9,73.6,22.7,6.63,11.5,14.5,7.7,13.1,1.8,11.2,3.6,5.4,10.1
4,Freiburg,34,17,8,9,51,44,7,59,51,12.4,60,2,48.0,76.9,22.0,6.67,13.1,14.6,9.6,11.9,1.7,12.4,5.3,6.4,12.5
5,Bayer Leverkusen,34,14,8,12,57,49,8,50,57,12.9,70,7,51.8,81.9,12.7,6.64,11.6,14.5,8.6,11.2,1.5,12.9,4.9,10.2,12.0
6,Eintracht Frankfurt,34,13,11,10,58,52,6,50,58,11.9,70,1,52.5,79.5,13.8,6.6,10.9,16.5,8.4,12.6,2.1,11.9,4.2,8.6,11.1
7,Wolfsburg,34,13,10,11,57,48,9,49,57,12.0,63,0,50.5,79.4,15.6,6.65,13.8,16.0,8.6,11.5,1.5,12.0,4.3,7.5,13.3
8,Mainz 05,34,12,10,12,54,55,-1,46,54,12.4,69,1,43.9,71.3,21.9,6.61,12.9,16.1,12.7,14.0,2.2,12.4,4.7,6.6,9.8
9,Borussia M.Gladbach,34,11,10,13,52,55,-3,43,52,12.0,60,3,54.0,83.4,12.6,6.63,14.2,14.6,7.9,9.9,2.1,12.0,5.1,7.1,13.1
10,FC Koln,34,10,12,12,49,54,-5,42,49,12.3,69,3,49.4,77.8,19.5,6.57,11.1,18.1,10.9,11.8,2.0,12.3,4.6,6.6,10.4
11,Hoffenheim,34,10,6,18,48,57,-9,36,48,12.0,74,5,48.0,77.1,16.3,6.55,14.1,16.0,8.4,13.9,2.3,12.0,4.1,7.3,10.9
12,Werder Bremen,34,10,6,18,51,64,-13,36,51,10.9,76,1,49.5,76.3,18.7,6.58,14.0,17.5,9.4,12.5,1.9,10.9,4.2,6.9,10.9
13,Bochum,34,10,5,19,40,72,-32,35,40,11.8,64,1,45.7,69.9,22.8,6.5,15.7,18.4,9.9,12.6,1.9,11.8,3.8,5.1,10.4
14,Augsburg,34,9,7,18,42,63,-21,34,42,10.6,92,5,40.9,68.1,18.9,6.48,15.9,15.4,8.4,12.7,1.7,10.6,3.1,5.9,10.5
15,VfB Stuttgart,34,7,12,15,45,57,-12,33,45,13.6,64,5,50.1,80.9,16.2,6.57,11.8,15.5,9.1,10.2,1.6,13.6,4.4,9.9,12.0
16,Schalke 04,34,7,10,17,35,71,-36,31,35,12.5,68,1,45.2,71.7,20.5,6.48,14.5,15.9,9.0,12.6,2.1,12.5,3.8,5.8,11.5
17,Hertha Berlin,34,7,8,19,42,69,-27,29,42,11.3,80,1,41.3,71.2,18.8,6.51,14.0,16.9,10.8,12.4,1.7,11.3,3.9,9.5,11.6
