,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
20,Jeremías Ledesma,1354,Cadiz,30,GK,34,3060,0,0.0,28.6,46.8,0.0,7.5,0.0,7.03,0,2,0,0.0,0.3,5,0.1,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,1.5,0.1,0.0,0
32,Thibaut Courtois,52,Real Madrid,31,GK,31,2790,0,0.1,30.3,83.9,0.0,3.9,0.0,6.94,0,0,0,0.0,0.3,2,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0
48,Marc-André ter Stegen,65,Barcelona,31,GK,38,3349,0,0.1,32.3,82.4,0.0,6.9,0.0,6.86,0,0,0,0.0,0.2,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
53,Aitor Fernández,131,Osasuna,32,GK,21,1890,0,0.0,33.4,61.4,0.0,10.1,0.0,6.85,0,1,0,0.0,0.1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,1.4,0.0,0.0,0
55,David Soria,819,Getafe,30,GK,38,3420,0,0.1,27.1,49.7,0.0,11.1,0.0,6.84,0,3,0,0.0,0.1,6,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0
58,Jordi Masip,58,Real Valladolid,34,GK,28,2508,0,0.0,30.0,66.4,0.0,6.3,0.0,6.83,0,4,0,0.0,0.3,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0
93,Edgar Badia,833,Elche,31,GK,36,3240,0,0.0,25.1,69.5,0.0,6.6,0.0,6.73,0,2,0,0.0,0.3,2,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0
107,Álex Remiro,68,Real Sociedad,28,GK,38,3420,0,0.0,30.7,68.8,0.0,7.7,0.0,6.71,0,1,0,0.0,0.2,0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0
114,Rui Silva,54,Real Betis,29,GK,26,2340,0,0.0,29.8,63.4,0.0,7.8,0.0,6.7,0,2,0,0.0,0.3,1,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0
117,Paulo Gazzaniga,2783,Girona,31,GK,28,2520,0,0.0,33.0,69.9,0.0,6.3,0.0,6.69,0,4,0,0.0,0.2,3,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
118,Predrag Rajkovic,51,Mallorca,27,GK,36,3240,0,0.1,30.1,54.8,0.0,9.6,0.0,6.69,0,3,0,0.0,0.1,1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0
125,Jan Oblak,63,Atletico Madrid,30,GK,28,2493,0,0.0,25.0,60.9,0.0,5.3,0.0,6.67,0,1,0,0.0,0.1,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0
132,Fernando Martínez,1799,Almeria,33,GK,37,3286,0,0.0,29.6,65.1,0.0,6.6,0.0,6.66,0,3,0,0.0,0.1,1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0
176,Pepe Reina,839,Villarreal,40,GK,22,1980,0,0.0,33.7,77.4,0.0,4.6,0.0,6.58,0,2,0,0.0,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0
204,Giorgi Mamardashvili,55,Valencia,22,GK,38,3420,0,0.0,24.7,59.9,0.0,5.2,0.0,6.54,0,3,0,0.0,0.2,2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0
219,Agustín Marchesín,62,Celta Vigo,35,GK,19,1710,0,0.0,29.3,67.4,0.0,6.6,0.0,6.52,0,3,0,0.0,0.2,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,0.0,0
238,Unai Simón,53,Athletic Club,26,GK,31,2746,0,0.0,25.6,68.4,0.0,5.4,0.0,6.48,0,2,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0
257,Stole Dimitrievski,64,Rayo Vallecano,29,GK,37,3325,0,0.0,24.8,53.7,0.0,4.3,0.0,6.44,0,4,0,0.0,0.2,3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0
272,Yassine Bounou,67,Sevilla,32,GK,26,2154,0,0.0,32.9,73.3,0.0,6.2,0.0,6.42,0,2,0,0.0,0.2,1,0.0,0.0,0.0,0.0,0.2,0.1,0.1,0.0,0.0,0.7,0.1,0.0,0
275,Iván Villar,62,Celta Vigo,25,GK,19,1710,0,0.1,26.1,64.1,0.0,4.9,0.0,6.42,0,0,0,0.0,0.1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0
