,Rank_x,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating,def_Shotspg,def_Tacklespg,def_Interceptionspg,def_Foulspg,def_Offsidespg,of_Shotspg,of_ShotsOTpg,of_Dribblespg,of_Fouledpg,xG,xGDiff,Shots,xG_Shots,Rank_y,P,W,D,L,GF,GA,GD,Pts
0,1,Paris Saint-Germain,89,15.0,53,5,60.9,90.5,6.6,6.88,11.8,16.1,7.8,10.0,2.0,15.0,6.6,11.9,10.9,78.99,7.01,569,0.14,1,38,27,4,7,89,40,49,85
1,2,Lyon,65,13.7,59,3,58.0,85.1,12.0,6.77,11.3,19.0,12.7,13.2,1.5,13.7,5.4,10.5,11.9,63.15,-0.15,519,0.12,7,38,18,8,12,65,47,18,62
2,3,Marseille,67,14.6,62,4,56.9,83.2,13.1,6.75,11.2,18.0,11.1,14.0,1.8,14.6,4.9,9.4,11.0,66.58,-5.58,553,0.12,3,38,22,7,9,67,40,27,73
3,4,Lens,68,13.9,63,3,55.8,86.4,10.8,6.75,10.3,14.2,8.9,12.9,1.6,13.9,4.9,8.6,12.7,67.18,-1.18,527,0.13,2,38,25,9,4,68,29,39,84
4,5,Rennes,69,13.9,54,6,55.8,84.7,14.2,6.73,9.9,15.8,9.0,12.2,1.4,13.9,5.1,10.8,10.0,62.99,3.01,529,0.12,4,38,21,5,12,69,39,30,68
5,6,Lille,65,14.7,83,1,60.9,86.1,11.7,6.73,8.7,16.7,7.9,13.1,1.7,14.7,5.7,10.5,12.6,70.91,-5.91,557,0.13,5,38,19,10,9,65,44,21,67
6,7,Nice,48,13.5,51,3,51.5,85.4,10.3,6.73,11.7,21.5,10.9,10.1,1.3,13.5,5.2,11.1,9.9,53.46,-6.46,514,0.1,9,38,15,13,10,48,37,11,58
7,8,Monaco,70,12.6,58,5,47.8,80.5,13.6,6.71,13.5,18.3,11.2,12.8,2.2,12.6,5.5,8.4,10.8,63.73,5.27,478,0.13,6,38,19,8,11,70,58,12,65
8,9,Lorient,52,10.6,42,4,46.4,83.5,10.9,6.66,14.9,19.4,9.7,10.4,1.3,10.6,4.1,10.7,13.2,43.19,5.81,403,0.11,10,38,15,10,13,52,53,-1,55
9,10,Montpellier,65,11.6,66,10,45.4,78.6,12.7,6.64,13.8,18.0,10.6,12.8,1.9,11.6,4.6,8.9,13.8,51.43,12.57,442,0.12,12,38,15,5,18,65,62,3,50
10,11,Reims,45,13.8,67,9,48.4,80.0,12.6,6.63,12.8,18.5,10.4,13.3,2.2,13.8,4.7,9.1,11.1,60.57,-15.57,524,0.12,11,38,12,15,11,45,45,0,51
11,12,Strasbourg,51,11.8,68,7,45.6,79.0,18.0,6.62,11.2,18.2,11.5,13.9,1.1,11.8,4.3,8.9,12.5,49.59,-1.59,449,0.11,15,38,9,13,16,51,59,-8,40
12,13,Brest,44,11.2,63,2,44.6,78.0,16.8,6.62,12.9,18.6,12.5,13.1,1.6,11.2,3.7,7.1,12.2,43.75,-0.75,425,0.1,14,38,11,11,16,44,54,-10,44
13,14,Toulouse,51,12.0,56,3,51.1,82.0,12.9,6.61,14.2,18.8,10.8,12.4,1.9,12.0,4.8,7.4,10.9,54.19,-4.19,457,0.12,13,38,13,9,16,51,57,-6,48
14,15,Nantes,37,11.8,61,4,45.5,80.0,15.7,6.6,12.0,18.7,11.3,12.7,1.4,11.8,4.2,9.9,10.9,44.67,-9.67,448,0.1,16,38,7,15,16,37,55,-18,36
15,16,Clermont Foot,45,10.6,68,5,48.1,81.1,10.8,6.57,12.8,18.0,11.6,11.2,1.4,10.6,4.0,9.2,15.6,48.99,-4.99,403,0.12,8,38,17,8,13,45,49,-4,59
16,17,Troyes,45,10.4,55,5,42.1,80.2,12.6,6.51,16.5,16.0,10.5,10.6,1.5,10.4,3.7,9.6,10.6,39.15,3.85,395,0.1,19,38,4,12,22,45,81,-36,24
17,18,Auxerre,35,11.3,46,6,43.0,79.6,13.0,6.51,12.4,17.7,11.9,12.2,1.3,11.3,3.3,8.9,11.0,42.32,-10.32,429,0.1,17,38,8,11,19,35,63,-28,35
18,19,Angers,33,9.8,63,5,46.7,82.8,11.6,6.43,12.2,17.2,9.9,12.9,1.2,9.8,3.4,11.6,11.1,40.23,-9.23,371,0.11,20,38,4,6,28,33,81,-48,18
19,20,AC Ajaccio,23,8.4,82,10,42.5,75.5,16.2,6.34,11.1,16.8,11.1,14.2,1.7,8.4,2.3,7.4,13.0,33.94,-11.94,320,0.11,18,38,7,5,26,23,74,-51,26
