,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
20,Jean-Ricner Bellegarde,148,Strasbourg,24, M(CLR)  ,29(1),2428,6,1.9,36.3,81.6,1.5,1.5,0.1,7.07,2,5,0,1.3,0.7,5,1.9,2.4,0.0,1.5,2.1,1.6,0.9,1.2,0.0,0.6,0.5,0.1,0
27,Habib Diallo,148,Strasbourg,28," AM(R),FW  ",32(5),2880,1,0.7,15.8,67.7,0.0,0.3,0.1,7.04,20,2,1,2.5,3.6,5,0.8,1.7,0.5,0.9,3.2,0.5,0.3,1.0,0.0,0.7,0.3,0.1,0
50,Alexander Djiku,148,Strasbourg,28," D(CR),DMC  ",31,2681,2,0.4,48.0,80.8,0.1,4.5,0.0,6.92,1,8,1,0.5,3.0,1,0.1,0.8,0.1,0.2,0.3,1.7,2.1,1.3,0.4,4.8,0.6,0.6,0
152,Maxime Le Marchand,148,Strasbourg,33, D(CL)  ,23(3),2018,0,0.1,45.3,79.9,0.2,3.1,0.0,6.65,0,4,1,0.3,2.3,0,0.6,0.3,0.0,0.2,0.4,1.5,1.4,1.2,0.4,2.7,0.5,0.5,0
156,Ismaël Doukouré,148,Strasbourg,19, D(C)  ,25(3),2301,1,0.1,37.3,83.2,0.1,2.5,0.1,6.65,1,5,0,0.3,1.1,0,1.0,1.0,0.0,0.7,0.8,1.7,1.0,1.1,0.7,1.9,0.5,0.3,0
168,Matz Sels,148,Strasbourg,31, GK  ,38,3420,0,0.0,22.1,60.1,0.0,5.1,0.0,6.61,0,2,0,0.0,0.2,2,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.9,0.0,0.0,0
179,Kevin Gameiro,148,Strasbourg,36, FW  ,23(11),2103,0,0.7,21.3,80.4,0.2,0.2,0.1,6.6,10,0,1,1.4,0.4,1,0.6,0.4,0.1,0.8,1.4,0.6,0.3,0.4,0.0,0.0,0.6,0.0,0
182,Habib Diarra,148,Strasbourg,19, AM(CR)  ,18(11),1628,2,0.8,20.4,80.6,0.4,0.6,0.1,6.59,3,4,0,0.8,0.4,1,0.9,0.8,0.0,0.7,1.3,0.8,0.4,0.8,0.0,0.4,0.5,0.0,0
184,Lucas Perrin,148,Strasbourg,24, D(C)  ,18(8),1763,1,0.3,30.5,82.2,0.1,2.2,0.0,6.59,0,4,0,0.3,1.4,0,0.2,0.7,0.0,0.2,0.2,1.7,1.4,0.9,0.4,1.7,0.9,0.2,0
208,Dimitri Liénard,148,Strasbourg,35," D(L),M(CL)  ",18(10),1546,0,1.1,27.1,78.5,1.3,2.2,0.0,6.52,0,4,0,0.5,0.7,0,0.4,0.5,0.1,0.4,1.0,1.6,0.6,0.6,0.0,0.8,0.8,0.1,0
224,Sanjin Prcic,148,Strasbourg,29, M(C)  ,17(12),1633,1,0.4,35.4,86.1,0.2,3.3,0.1,6.48,1,3,1,1.0,0.6,0,0.5,0.7,0.0,0.2,0.3,0.9,0.9,0.6,0.0,0.7,0.4,0.2,0
237,Colin Dagba,148,Strasbourg,24," D(R),M(R)  ",12(9),960,0,0.6,17.4,85.0,0.4,0.4,0.0,6.44,0,3,0,0.2,0.1,0,0.5,0.3,0.0,0.5,0.4,1.5,0.8,0.7,0.2,0.8,0.3,0.1,0
238,Gerzino Nyamsi,148,Strasbourg,26, D(C)  ,19(1),1580,1,0.2,42.0,84.5,0.0,2.9,0.0,6.44,1,4,1,0.7,1.9,1,0.5,0.2,0.0,0.1,0.6,1.4,0.5,1.9,0.8,2.9,0.1,0.6,0
240,Jean-Eudes Aholou,148,Strasbourg,29, DMC  ,16(14),1301,1,0.3,19.5,76.1,0.0,1.0,0.1,6.43,3,4,1,0.7,0.9,1,0.5,0.8,0.0,0.5,1.1,1.1,0.8,1.3,0.0,0.4,0.6,0.0,0
247,Ibrahima Sissoko,148,Strasbourg,25," D(C),DMC  ",13(13),1306,2,0.4,23.9,77.5,0.2,1.2,0.1,6.41,0,1,0,0.5,1.2,0,0.3,0.6,0.1,0.7,0.8,1.5,0.4,1.6,0.0,0.7,0.8,0.2,0
305,Lebo Mothiba,148,Strasbourg,27, FW  ,3(16),428,0,0.1,4.9,79.6,0.0,0.0,0.0,6.22,3,0,0,0.5,0.5,0,0.2,0.6,0.0,0.4,0.8,0.1,0.0,0.6,0.0,0.2,0.1,0.1,0
