player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
Domenico Berardi,2889,Sassuolo,28," AM(R),FW  ",22(4),1872,7,1.7,31.2,71.1,1.0,3.1,0.1,7.15,12,7,0,3.2,0.5,6,0.8,1.9,0.3,0.9,2.3,0.9,0.7,1.3,0.0,0.6,1.2,0.0,0
Armand Laurienté,2889,Sassuolo,24," AM(LR),FW  ",27(1),2191,6,2.2,24.6,79.2,0.7,0.5,0.1,7.11,7,8,1,2.0,0.0,4,2.3,1.5,0.3,1.9,2.0,0.8,0.4,0.8,0.0,0.1,0.5,0.0,0
Davide Frattesi,2889,Sassuolo,23, DMC  ,35(1),2891,0,0.8,27.7,80.5,0.1,1.7,0.1,6.8,7,4,0,1.8,0.6,1,0.9,1.6,0.0,1.2,1.6,1.8,0.4,1.1,0.1,1.1,0.5,0.2,0
Martin Erlic,2889,Sassuolo,25, D(C)  ,26(2),2332,0,0.1,46.0,86.1,0.0,4.0,0.0,6.59,0,2,0,0.1,1.8,0,0.0,0.4,0.0,0.0,0.5,1.0,1.1,0.8,1.0,4.1,0.5,0.8,1
Matheus Henrique,2889,Sassuolo,25, M(C)  ,21(9),1951,1,0.9,28.2,86.9,0.0,1.5,0.0,6.57,4,4,0,0.8,0.4,0,1.1,1.1,0.0,0.5,0.9,0.9,0.4,0.7,0.0,0.3,0.4,0.1,0
Rogerio,2889,Sassuolo,25," D(L),M(L)  ",34(2),2999,3,0.8,44.1,83.0,0.8,3.1,0.0,6.55,0,5,1,0.4,0.6,2,0.6,1.1,0.0,0.2,0.8,1.0,1.0,0.8,0.4,1.7,0.5,0.3,0
Maxime Lopez,2889,Sassuolo,25, M(CR)  ,25(5),2297,0,1.1,54.6,89.1,0.3,3.1,0.0,6.51,0,11,0,0.5,0.1,0,0.4,0.4,0.0,0.4,0.6,1.4,0.7,1.0,0.0,0.6,1.3,0.2,0
Andrea Pinamonti,2889,Sassuolo,24, FW  ,25(7),2174,0,0.5,15.0,66.9,0.1,0.2,0.0,6.38,5,3,1,2.1,1.1,0,0.3,1.0,0.3,1.8,1.9,0.3,0.1,0.7,0.0,0.3,0.1,0.1,0
Jeremy Toljan,2889,Sassuolo,28," D(LR),M(LR)  ",29(2),2672,1,0.7,42.1,83.7,0.3,1.9,0.1,6.37,0,3,0,0.2,0.3,0,0.2,0.5,0.0,0.5,0.8,1.2,0.6,0.3,0.4,1.1,0.4,0.5,0
Ruan,2889,Sassuolo,24, D(C)  ,21(2),1717,0,0.0,40.7,89.0,0.0,1.7,0.0,6.32,0,9,3,0.2,2.2,0,0.1,0.6,0.0,0.2,0.2,1.7,1.0,1.2,0.9,3.3,0.4,0.7,1
Andrea Consigli,2889,Sassuolo,36, GK  ,35,3150,0,0.0,35.4,76.4,0.0,7.8,0.0,6.32,0,0,0,0.0,0.3,1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0
Abdou Harroui,2889,Sassuolo,25," DMC,M(R)  ",5(18),637,0,0.3,12.8,84.4,0.1,0.1,0.0,6.31,2,2,0,0.6,0.4,0,0.5,0.1,0.0,0.6,0.5,0.7,0.1,0.6,0.0,0.4,0.2,0.0,0
Gian Marco Ferrari,2889,Sassuolo,31, D(C)  ,24(9),2221,0,0.1,38.8,86.3,0.0,3.1,0.0,6.31,1,5,0,0.2,1.5,0,0.0,0.9,0.0,0.1,0.3,0.7,0.7,0.7,0.9,2.5,0.2,0.6,0
Kristian Thorstvedt,2889,Sassuolo,24, M(C)  ,13(18),1133,1,0.3,15.2,77.3,0.0,0.4,0.0,6.3,2,5,0,0.6,0.9,0,0.2,0.7,0.0,0.4,0.6,0.5,0.5,0.6,0.0,0.4,0.4,0.2,0
Emil Ceïde,2889,Sassuolo,21, Forward  ,5(14),505,1,0.4,8.4,74.4,0.1,0.1,0.1,6.2,0,0,0,0.5,0.1,0,0.4,0.4,0.1,0.4,0.8,0.3,0.1,0.2,0.0,0.0,0.1,0.1,0
Gregoire Defrel,2889,Sassuolo,32," AM(CR),FW  ",13(14),1168,1,0.3,9.2,84.7,0.0,0.1,0.0,6.2,2,3,0,0.6,0.2,1,0.3,0.5,0.2,0.6,1.0,0.3,0.1,0.5,0.0,0.2,0.3,0.0,0
Agustín Álvarez Martínez,2889,Sassuolo,22, Forward  ,1(21),351,1,0.1,3.6,83.8,0.0,0.2,0.0,6.18,1,1,0,0.6,0.4,0,0.3,0.2,0.1,0.5,0.7,0.3,0.1,0.4,0.0,0.1,0.1,0.0,0
