,Rank,Team,Goals,Shotspg,Yellow,Red,Possession,Pass,AerialsWon,Rating
0,1, Paris Saint-Germain,89,15,53,5,60.9,90.5,6.6,6.88
1,2, Lyon,65,13.7,59,3,58.0,85.1,12,6.77
2,3, Marseille,67,14.6,62,4,56.9,83.2,13.1,6.75
3,4, Lens,68,13.9,63,3,55.8,86.4,10.8,6.75
4,5, Rennes,69,13.9,54,6,55.8,84.7,14.2,6.73
5,6, Lille,65,14.7,83,1,60.9,86.1,11.7,6.73
6,7, Nice,48,13.5,51,3,51.5,85.4,10.3,6.73
7,8, Monaco,70,12.6,58,5,47.8,80.5,13.6,6.71
8,9, Lorient,52,10.6,42,4,46.4,83.5,10.9,6.66
9,10, Montpellier,65,11.6,66,10,45.4,78.6,12.7,6.64
10,11, Reims,45,13.8,67,9,48.4,80.0,12.6,6.63
11,12, Strasbourg,51,11.8,68,7,45.6,79.0,18,6.62
12,13, Brest,44,11.2,63,2,44.6,78.0,16.8,6.62
13,14, Toulouse,51,12,56,3,51.1,82.0,12.9,6.61
14,15, Nantes,37,11.8,61,4,45.5,80.0,15.7,6.60
15,16, Clermont Foot,45,10.6,68,5,48.1,81.1,10.8,6.57
16,17, Troyes,45,10.4,55,5,42.1,80.2,12.6,6.51
17,18, Auxerre,35,11.3,46,6,43.0,79.6,13,6.51
18,19, Angers,33,9.8,63,5,46.7,82.8,11.6,6.43
19,20, AC Ajaccio,23,8.4,82,10,42.5,75.5,16.2,6.34
